dataset,PYGAM,MGCV_SPLINE,EBM,NAM,GAMINET,EXNN,IGANN,LR,DT,RF,XGB,CATBOOST,MLP,TABNET
college,0.951±0.006,0.952±0.007,0.967±0.008,0.935±0.011,0.967±0.008,0.768±0.025,0.953±0.023,0.929±0.015,0.849±0.027,0.964±0.012,0.960±0.017,0.970±0.008,0.973±0.009,0.944±0.012
water,0.565±0.019,0.589±0.018,0.679±0.027,0.578±0.023,0.675±0.030,0.680±0.017,0.664±0.049,0.495±0.013,0.589±0.027,0.684±0.015,0.658±0.011,0.688±0.021,0.677±0.044,0.629±0.040
stroke,0.835±0.023,0.828±0.022,0.834±0.017,0.804±0.044,0.834±0.026,0.701±0.018,0.838±0.027,0.834±0.032,0.815±0.035,0.836±0.018,0.823±0.027,0.830±0.019,0.662±0.176,0.795±0.037
telco,0.849±0.014,0.849±0.013,0.849±0.011,0.846±0.014,0.847±0.015,0.776±0.017,0.846±0.013,0.838±0.014,0.823±0.016,0.841±0.013,0.844±0.014,0.848±0.012,0.842±0.018,0.832±0.016
compas,0.741±0.019,0.743±0.017,0.747±0.017,0.742±0.017,0.740±0.017,0.632±0.014,0.744±0.019,0.726±0.017,0.709±0.015,0.736±0.016,0.744±0.018,0.742±0.026,0.740±0.017,0.722±0.016
fico,0.807±0.009,0.810±0.008,0.807±0.010,0.802±0.009,0.804±0.010,0.787±0.017,0.802±0.010,0.795±0.013,0.768±0.011,0.801±0.011,0.802±0.012,0.797±0.006,0.796±0.009,0.779±0.021
adult,0.916±0.002,0.920±0.003,0.928±0.002,0.916±0.001,0.915±0.002,0.609±0.007,0.916±0.002,0.906±0.002,0.902±0.003,0.917±0.003,0.929±0.002,0.929±0.002,0.915±0.002,0.906±0.002
bank,0.777±0.011,0.778±0.009,0.798±0.011,0.772±0.014,0.772±0.014,0.609±0.008,0.772±0.007,0.764±0.008,0.719±0.026,0.795±0.006,0.797±0.008,0.801±0.006,0.787±0.009,0.747±0.016
airline,0.980±0.001,0.980±0.001,0.991±0.001,0.976±0.001,0.989±0.001,0.991±0.001,0.989±0.001,0.927±0.002,0.958±0.003,0.994±0.000,0.995±0.000,0.995±0.000,0.994±0.000,0.994±0.000
weather,0.874±0.003,0.874±0.003,0.878±0.003,0.870±0.003,0.876±0.003,0.573±0.005,0.878±0.003,0.868±0.003,0.840±0.001,0.887±0.002,0.891±0.003,0.893±0.002,0.887±0.002,0.877±0.002
