dataset,PYGAM,MGCV_SPLINE,EBM,NAM,GAMINET,EXNN,IGANN,LR,DT,RF,XGB,CATBOOST,MLP,TABNET
college,0.048±0.020,0.068±0.025,0.744±0.213,6.402±2.953,4.744±2.004,4.692±0.494,3.906±6.873,0.004±0.005,0.000±0.000,0.458±0.440,0.564±0.401,0.202±0.103,0.384±0.106,9.158±5.672
water,0.044±0.019,0.654±0.400,0.974±0.306,4.122±1.915,2.472±0.587,39.524±8.172,0.440±0.324,0.002±0.004,0.006±0.005,1.822±1.373,0.132±0.126,0.294±0.223,0.654±0.144,5.260±1.736
stroke,0.516±0.598,0.315±0.048,0.334±0.062,5.234±4.110,1.494±0.436,98.268±26.452,0.104±0.059,0.000±0.000,0.000±0.000,0.130±0.037,0.028±0.011,0.200±0.331,0.664±0.599,6.062±1.949
telco,0.622±0.569,0.622±0.223,1.466±0.209,55.044±25.724,9.240±6.325,74.236±27.039,0.934±1.028,0.212±0.452,0.006±0.005,0.886±1.140,0.440±0.414,0.306±0.180,1.254±0.227,9.290±4.306
compas,0.468±0.416,1.682±1.047,0.928±0.360,25.956±5.313,3.722±1.931,66.182±17.069,1.772±1.752,0.016±0.013,0.000±0.000,1.610±1.272,0.120±0.148,0.214±0.239,1.982±0.886,6.380±2.430
fico,1.122±0.685,40.536±50.561,0.934±0.450,34.156±16.588,12.128±4.288,121.332±13.374,0.280±0.208,0.626±0.535,0.010±0.007,1.348±1.358,0.188±0.226,2.458±3.216,2.390±1.033,6.036±3.838
adult,49.282±1.340,194.680±97.156,24.608±6.698,205.312±16.230,56.752±5.328,376.532±89.886,18.514±21.160,0.664±0.448,0.040±0.000,0.724±0.669,0.944±0.823,1.300±0.559,9.044±4.016,14.894±3.712
bank,5.735±3.529,11.358±3.462,5.956±1.075,154.650±91.562,29.852±31.330,608.956±393.782,4.508±5.522,1.196±0.824,0.034±0.019,0.656±0.325,2.996±3.689,4.156±3.082,6.838±4.232,36.652±16.486
airline,11.032±6.639,168.092±18.842,41.740±22.439,261.484±69.631,91.750±31.515,2763.774±900.049,71.860±1.233,0.176±0.098,0.114±0.060,1.524±1.037,13.852±13.764,4.766±2.507,27.864±10.550,46.466±1.229
weather,56.694±21.307,781.550±271.845,81.090±43.050,760.092±188.613,70.510±17.655,856.648±395.645,53.626±47.748,7.990±6.477,0.386±0.065,6.258±3.098,59.184±17.816,35.866±25.969,39.212±29.197,58.414±10.197
